Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Loan_to_Income_Ratio
Male,No,0,Graduate,No,5849,0.0,146.41216216216216,360.0,1.0,Urban,1,5849.0,0.02503199900190839
Male,Yes,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,0,6091.0,0.0210146117222131
Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,1,3000.0,0.022
Male,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,1,4941.0,0.024286581663630843
Male,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,1,6000.0,0.0235
Male,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,1,9613.0,0.027774888172266723
Male,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,1,3849.0,0.024681735515718367
Male,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,0,5540.0,0.02851985559566787
Male,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,1,5532.0,0.03036876355748373
Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,0,12555.375,0.02779685991059606
Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,1,3900.0,0.017948717948717947
Male,Yes,2,Graduate,No,2500,1840.0,109.0,360.0,1.0,Urban,1,4340.0,0.02511520737327189
Male,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,1,11179.0,0.01789068789694964
Male,No,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,0,4693.0,0.024291497975708502
Male,Yes,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,1,2385.0,0.007127882599580713
Male,No,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,1,4950.0,0.025252525252525252
Male,No,1,Not Graduate,No,3596,0.0,100.0,240.0,1.0,Urban,1,3596.0,0.027808676307007785
Female,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,0,3510.0,0.021652421652421653
Male,Yes,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,0,4887.0,0.027215060364231634
Male,Yes,0,Graduate,No,2600,3500.0,115.0,342.0,1.0,Urban,1,6100.0,0.018852459016393444
Male,Yes,0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,0,7660.0,0.013577023498694517
Male,Yes,1,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,1,11580.0,0.027202072538860103
Male,Yes,0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,0,4511.0,0.025714919086677012
Male,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,0,5282.0,0.021204089360090876
Male,Yes,1,Graduate,No,3717,2925.0,151.0,360.0,1.0,Semiurban,0,6642.0,0.02273411623005119
Male,Yes,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,1,9560.0,0.01997907949790795
Male,Yes,0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,1,5052.0,0.02414885193982581
Male,Yes,2,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,1,5266.0,0.020888720091150777
Male,No,0,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,0,1442.0,0.024271844660194174
Female,No,2,Graduate,No,3750,2083.0,120.0,360.0,1.0,Semiurban,1,5833.0,0.020572604148808505
